"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-09-12,"two",1899-12-31 22:00:00,"July","starvation",1,73,10,71.1666666666667,1,35.5416666666667,0.186707459207455,0.871,"fem"
"2",2022-09-12,"two",1899-12-31 22:00:00,"July","starvation",2,72,12,70.2,4,35.3625,0.186538461538456,0.876,"fem"
"3",2022-09-12,"two",1899-12-31 22:00:00,"July","fed",3,69,12,67.2,8,34.8104166666667,0.181293706293697,0.868,"fem"
"4",2022-09-12,"two",1899-12-31 22:00:00,"July","fed",4,71,37,69.6166666666667,5,35.2569444444444,0.178671328671322,0.864,"fem"
"5",2022-09-12,"two",1899-12-31 22:00:00,"July","fed",5,68,23,66.3833333333333,9,34.6590909090909,0.185664335664329,0.876,"fem"
"6",2022-09-12,"two",1899-12-31 22:00:00,"July","fed",6,71,22,69.3666666666667,6,35.2053571428571,0.178671328671322,0.822,"fem"
"7",2022-09-12,"two",1899-12-31 22:00:00,"July","fed",7,72,34,70.5666666666667,3,35.4513888888889,0.186538461538456,0.906,"fem"
"8",2022-09-12,"two",1899-12-31 22:00:00,"July","starvation",8,70,49,68.8166666666667,7,35.0989583333333,0.179895104895098,0.908,"fem"
"9",2022-09-12,"two",1899-12-31 22:00:00,"July","starvation",9,72,53,70.8833333333333,2,35.53125,0.186538461538456,0.808,"fem"
"10",2022-09-12,"two",1899-12-31 22:00:00,"July","starvation",10,67,39,65.65,10,34.5295138888889,0.192132867132861,0.893,"fem"
