"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-06-24,"one",1899-12-31 13:40:00,"July","tet",1,84,18,82.3,5,35.5486111111111,0.160489510489503,0.882,"f"
"2",2022-06-24,"one",1899-12-31 13:40:00,"July","rhod",2,86,1,84.0166666666667,2,35.8402777777778,0.162237762237756,0.781,"f"
"3",2022-06-24,"one",1899-12-31 13:40:00,"July","tet",3,85,20,83.3333333333333,3,35.7291666666667,0.162237762237758,0.85,"f"
"4",2022-06-24,"one",1899-12-31 13:40:00,"July","starved",4,82,35,80.5833333333333,6,35.2559523809524,0.158566433566424,0.81,"f"
"5",2022-06-24,"one",1899-12-31 13:40:00,"July","rhod",6,81,10,79.1666666666667,7,35.0260416666667,0.153846153846145,0.837,"f"
"6",2022-06-24,"one",1899-12-31 13:40:00,"July","tet",7,84,59,82.9833333333333,4,35.6614583333333,0.160489510489503,0.799,"f"
"7",2022-06-24,"one",1899-12-31 13:40:00,"July","tet",9,86,31,84.5166666666667,1,35.9375,0.162237762237756,0.816,"f"
"8",2022-06-24,"one",1899-12-31 13:40:00,"July","rhod",10,80,20,78.3333333333333,8,34.8958333333333,0.153846153846144,0.862,"f"
