"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-07-18,"two",1899-12-31 12:35:00,"July","fed",1,81,22,79.3666666666667,3,35.828125,0.192132867132864,0.784,"fem"
"2",2022-07-18,"two",1899-12-31 12:35:00,"July","starvation",2,78,47,76.7833333333333,6,35.3452380952381,0.204020979020971,0.844,"fem"
"3",2022-07-18,"two",1899-12-31 12:35:00,"July","fed",3,76,34,74.5666666666667,8,34.9050925925926,0.190734265734262,0.828,"fem"
"4",2022-07-18,"two",1899-12-31 12:35:00,"July","starvation",4,85,32,83.5333333333333,1,36.5833333333333,0.170454545454539,0.784,"fem"
"5",2022-07-18,"two",1899-12-31 12:35:00,"July","starvation",5,79,51,77.85,5,35.5416666666667,0.201573426573421,0.844,"fem"
"6",2022-07-18,"two",1899-12-31 12:35:00,"July","fed",6,77,19,75.3166666666667,7,35.0546875,0.198601398601393,0.778,"fem"
"7",2022-07-18,"two",1899-12-31 12:35:00,"July","fed",7,73,8,71.1333333333333,10,34.2743055555556,0.183216783216779,0.812,"fem"
"8",2022-07-18,"two",1899-12-31 12:35:00,"July","starvation",8,75,3,73.05,9,34.6231060606061,0.18968531468531,0.837,"fem"
"9",2022-07-18,"two",1899-12-31 12:35:00,"July","starvation",9,84,24,82.4,2,36.375,0.168531468531465,0.802,"fem"
"10",2022-07-18,"two",1899-12-31 12:35:00,"July","fed",10,80,26,78.4333333333333,4,35.6583333333333,0.195804195804192,0.839,"fem"
