"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",1,60,22,58.3666666666667,7,33.2916666666667,0.198251748251743,0.824,"fem"
"2",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",2,64,16,62.2666666666667,5,34.0659722222222,0.187412587412585,0.852,"fem"
"3",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",3,53,2,51.0333333333333,10,31.7708333333333,0.203321678321668,0.776,"fem"
"4",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",4,53,10,51.1666666666667,9,31.8041666666667,0.203321678321668,0.842,"fem"
"5",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",5,68,55,66.9166666666667,3,34.9722222222222,0.182517482517473,0.789,"fem"
"6",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",6,59,55,57.9166666666667,8,33.1828703703704,0.203671328671324,0.804,"fem"
"7",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",7,70,56,68.9333333333333,2,35.3541666666667,0.189860139860126,0.776,"fem"
"8",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",8,67,31,65.5166666666667,4,34.6875,0.183741258741253,0.786,"fem"
"9",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",9,62,50,60.8333333333333,6,33.75,0.19283216783216,0.794,"fem"
"10",2022-07-17,"two",1899-12-31 13:30:00,"July","fed",10,79,53,77.8833333333333,1,36.9791666666667,0.17237762237761,0.851,"fem"
