"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-07-15,"two",1899-12-31 12:20:00,"July","starvation",1,19,56,17.9333333333333,7,23.5601851851852,0.26573426573426,0.745,"fem"
"2",2022-07-15,"two",1899-12-31 12:20:00,"July","starvation",2,16,8,14.1333333333333,8,22.5708333333333,0.28356643356643,0.815,"fem"
"3",2022-07-15,"two",1899-12-31 12:20:00,"July","fed",4,75,55,73.9166666666667,2,36.0520833333333,0.197202797202795,0.783,"fem"
"4",2022-07-15,"two",1899-12-31 12:20:00,"July","fed",5,65,16,63.2666666666667,6,33.9345238095238,0.201398601398596,0.792,"fem"
"5",2022-07-15,"two",1899-12-31 12:20:00,"July","starvation",6,68,43,66.7166666666667,4,34.6208333333333,0.194055944055934,0.82,"fem"
"6",2022-07-15,"two",1899-12-31 12:20:00,"July","fed",8,71,20,69.3333333333333,3,35.1388888888889,0.199825174825167,0.792,"fem"
"7",2022-07-15,"two",1899-12-31 12:20:00,"July","fed",9,67,54,65.9,5,34.4618055555556,0.20332167832167,0.793,"fem"
"8",2022-07-15,"two",1899-12-31 12:20:00,"July","fed",10,78,22,76.3666666666667,1,36.5208333333333,0.187237762237755,0.86,"fem"
