"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-10-25,"two",1899-12-31 21:00:00,"July","fed",1,80,46,78.7666666666667,7,35.4560185185185,0.177797202797195,NA,NA
"2",2022-10-25,"two",1899-12-31 21:00:00,"July","fed",2,86,11,84.1833333333333,1,36.4583333333333,0.158570596070591,NA,NA
"3",2022-10-25,"two",1899-12-31 21:00:00,"July","starvation",3,70,6,68.1,10,33.515625,0.205594405594392,NA,NA
"4",2022-10-25,"two",1899-12-31 21:00:00,"July","starvation",4,82,22,80.3666666666667,3,35.7864583333333,0.167482517482508,NA,NA
"5",2022-10-25,"two",1899-12-31 21:00:00,"July","fed",5,81,18,79.3,6,35.5744047619048,0.170279720279709,NA,NA
"6",2022-10-25,"two",1899-12-31 21:00:00,"July","fed",6,81,26,79.4333333333333,5,35.6111111111111,0.170279720279709,NA,NA
"7",2022-10-25,"two",1899-12-31 21:00:00,"July","starvation",7,81,52,79.8666666666667,4,35.675,0.170279720279709,NA,NA
"8",2022-10-25,"two",1899-12-31 21:00:00,"July","starvation",8,72,18,70.3,9,33.9337121212121,0.202972027972017,NA,NA
"9",2022-10-25,"two",1899-12-31 21:00:00,"July","fed",9,83,36,81.6,2,35.9861111111111,0.162937062937054,NA,NA
"10",2022-10-25,"two",1899-12-31 21:00:00,"July","starvation",10,74,59,72.9833333333333,8,34.462962962963,0.200524475524468,NA,NA
