"run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex","run","cumul_day","rep","rep_day"
"2022-07-14","two","1899-12-31 13:40:00","July","fed",2,68,3,66.05,5,34.7881944444444,0.196328671328663,0.796,"fem",15,4,1,4
"2022-07-14","two","1899-12-31 13:40:00","July","starvation",4,53,28,51.4666666666667,7,31.84375,0.209615384615376,0.815,"fem",15,4,1,4
"2022-07-14","two","1899-12-31 13:40:00","July","starvation",5,72,14,70.2333333333333,3,35.6041666666667,0.190209790209782,0.832,"fem",15,4,1,4
"2022-07-14","two","1899-12-31 13:40:00","July","fed",6,73,33,71.55,1,35.875,0.19108391608391,0.788,"fem",15,4,1,4
"2022-07-14","two","1899-12-31 13:40:00","July","fed",7,68,51,66.85,4,34.9541666666667,0.196328671328663,0.811,"fem",15,4,1,4
"2022-07-14","two","1899-12-31 13:40:00","July","starvation",9,33,55,31.9166666666667,8,27.4837962962963,0.236713286713281,0.813,"fem",15,4,1,4
"2022-07-14","two","1899-12-31 13:40:00","July","fed",10,72,54,70.9,2,35.71875,0.190209790209782,0.834,"fem",15,4,1,4
"2022-07-15","two","1899-12-31 12:20:00","July","starvation",1,19,56,17.9333333333333,7,23.5601851851852,0.26573426573426,0.745,"fem",16,5,1,5
"2022-07-15","two","1899-12-31 12:20:00","July","starvation",2,16,8,14.1333333333333,8,22.5708333333333,0.28356643356643,0.815,"fem",16,5,1,5
"2022-07-15","two","1899-12-31 12:20:00","July","fed",4,75,55,73.9166666666667,2,36.0520833333333,0.197202797202795,0.783,"fem",16,5,1,5
"2022-07-15","two","1899-12-31 12:20:00","July","fed",5,65,16,63.2666666666667,6,33.9345238095238,0.201398601398596,0.792,"fem",16,5,1,5
"2022-07-15","two","1899-12-31 12:20:00","July","starvation",6,68,43,66.7166666666667,4,34.6208333333333,0.194055944055934,0.82,"fem",16,5,1,5
"2022-07-15","two","1899-12-31 12:20:00","July","fed",8,71,20,69.3333333333333,3,35.1388888888889,0.199825174825167,0.792,"fem",16,5,1,5
"2022-07-15","two","1899-12-31 12:20:00","July","fed",9,67,54,65.9,5,34.4618055555556,0.20332167832167,0.793,"fem",16,5,1,5
"2022-07-15","two","1899-12-31 12:20:00","July","fed",10,78,22,76.3666666666667,1,36.5208333333333,0.187237762237755,0.86,"fem",16,5,1,5
"2022-07-17","two","1899-12-31 13:30:00","July","fed",1,60,22,58.3666666666667,7,33.2916666666667,0.198251748251743,0.824,"fem",17,7,2,0
"2022-07-17","two","1899-12-31 13:30:00","July","fed",2,64,16,62.2666666666667,5,34.0659722222222,0.187412587412585,0.852,"fem",17,7,2,0
"2022-07-17","two","1899-12-31 13:30:00","July","fed",3,53,2,51.0333333333333,10,31.7708333333333,0.203321678321668,0.776,"fem",17,7,2,0
"2022-07-17","two","1899-12-31 13:30:00","July","fed",4,53,10,51.1666666666667,9,31.8041666666667,0.203321678321668,0.842,"fem",17,7,2,0
"2022-07-17","two","1899-12-31 13:30:00","July","fed",5,68,55,66.9166666666667,3,34.9722222222222,0.182517482517473,0.789,"fem",17,7,2,0
