"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",1,67,30,65.5,9,35.2270833333333,0.185489510489501,0.83,"fem"
"2",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",2,74,4,72.0666666666667,1,36.5,0.167561605061601,0.834,"fem"
"3",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",3,69,20,67.3333333333333,4,35.6354166666667,0.184615384615372,0.792,"fem"
"4",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",4,68,0,66,8,35.3240740740741,0.187062937062925,0.836,"fem"
"5",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",5,68,20,66.3333333333333,7,35.4010416666667,0.185839160839151,0.815,"fem"
"6",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",6,69,47,67.7833333333333,3,35.7135416666667,0.184615384615372,0.822,"fem"
"7",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",7,68,36,66.6,6,35.4642857142857,0.185839160839151,0.852,"fem"
"8",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",8,68,50,66.8333333333333,5,35.5083333333333,0.185839160839151,0.845,"fem"
"9",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",9,70,18,68.3,2,35.8020833333333,0.186713286713276,0.831,"fem"
"10",2022-09-11,"two",1899-12-31 17:00:00,"July","fed",10,66,36,64.6,10,35.0572916666667,0.185139860139854,0.898,"fem"
