"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-07-19,"two",1899-12-31 11:50:00,"July","fed",1,68,41,66.6833333333333,1,34.7708333333333,0.189510489510481,0.854,"fem"
"2",2022-07-19,"two",1899-12-31 11:50:00,"July","fed",2,63,17,61.2833333333333,4,33.6833333333333,0.183216783216777,0.782,"fem"
"3",2022-07-19,"two",1899-12-31 11:50:00,"July","fed",3,59,13,57.2166666666667,6,32.8660714285714,0.195629370629363,0.785,"fem"
"4",2022-07-19,"two",1899-12-31 11:50:00,"July","starvation",5,52,9,50.15,8,31.4212962962963,0.201923076923072,0.835,"fem"
"5",2022-07-19,"two",1899-12-31 11:50:00,"July","starvation",6,65,32,63.5333333333333,3,34.140625,0.183041958041953,0.841,"fem"
"6",2022-07-19,"two",1899-12-31 11:50:00,"July","starvation",7,61,21,59.35,5,33.3090277777778,0.194580419580413,0.832,"fem"
"7",2022-07-19,"two",1899-12-31 11:50:00,"July","fed",8,57,41,55.6833333333333,7,32.5462962962963,0.200699300699292,0.834,"fem"
"8",2022-07-19,"two",1899-12-31 11:50:00,"July","starvation",10,67,58,65.9666666666667,2,34.59375,0.187237762237756,0.848,"fem"
