"sensor","minute_interval","ramp_per_second","ramp_per_minute","run"
"Temp1",0,0.00136363636363636,0.0818181818181817,2
"Temp1",1,0.00157342657342635,0.0944055944055811,2
"Temp1",2,0.00244755244755241,0.146853146853144,2
"Temp1",3,0.00388986013985987,0.233391608391592,2
"Temp1",4,0.00310314685314688,0.186188811188813,2
"Temp1",5,0.00340909090909088,0.204545454545453,2
"Temp1",6,0.00349650349650336,0.209790209790202,2
"Temp1",7,0.00375874125874123,0.225524475524474,2
"Temp1",8,0.00388986013986004,0.233391608391603,2
"Temp1",9,0.00340909090909086,0.204545454545452,2
"Temp1",10,0.00380244755244728,0.228146853146837,2
"Temp1",11,0.00428321678321673,0.256993006993004,2
"Temp1",12,0.00415209790209783,0.24912587412587,2
"Temp1",13,0.00270979020978996,0.162587412587397,2
"Temp1",14,0.00345279720279714,0.207167832167828,2
"Temp1",15,0.00423951048951049,0.25437062937063,2
"Temp1",16,0.00393356643356619,0.236013986013972,2
"Temp1",17,0.00310314685314658,0.186188811188795,2
"Temp1",18,0.00502622377622381,0.301573426573429,2
"Temp1",19,0.00288461538461515,0.173076923076909,2
"Temp1",20,0.00362762237762215,0.217657342657329,2
"Temp1",21,0.00423951048951036,0.254370629370621,2
"Temp1",22,0.00428321678321664,0.256993006992998,2
"Temp1",23,0.00327797202797165,0.196678321678299,2
"Temp1",24,0.00345279720279716,0.20716783216783,2
"Temp1",25,0.00323426573426554,0.194055944055933,2
"Temp1",26,0.00292832167832145,0.175699300699287,2
"Temp1",27,0.00314685314685325,0.188811188811195,2
"Temp1",28,0.00319055944055933,0.19143356643356,2
"Temp1",29,0.00406468531468518,0.243881118881111,2
"Temp1",30,0.00362762237762241,0.217657342657345,2
"Temp1",31,0.00327797202797192,0.196678321678315,2
"Temp1",32,0.00310314685314648,0.186188811188789,2
"Temp1",33,0.00367132867132873,0.220279720279724,2
"Temp1",34,0.00362762237762216,0.21765734265733,2
"Temp1",35,0.00388986013986009,0.233391608391605,2
"Temp1",36,0.00323426573426568,0.194055944055941,2
"Temp1",37,0.00480769230769221,0.288461538461533,2
"Temp1",38,0.003452797202797,0.20716783216782,2
"Temp1",39,0.00270979020978991,0.162587412587395,2
"Temp1",40,0.00336538461538418,0.201923076923051,2
"Temp1",41,0.00310314685314681,0.186188811188808,2
"Temp1",42,0.00388986013985985,0.233391608391591,2
"Temp1",43,0.00340909090909075,0.204545454545445,2
"Temp1",44,0.0033216783216782,0.199300699300692,2
"Temp1",45,0.00314685314685282,0.188811188811169,2
"Temp1",46,0.00218531468531465,0.131118881118879,2
"Temp1",47,0.00292832167832143,0.175699300699286,2
"Temp1",48,0.00410839160839153,0.246503496503492,2
"Temp1",49,0.00262237762237732,0.157342657342639,2
"Temp1",50,0.00292832167832138,0.175699300699283,2
"Temp1",51,0.00297202797202787,0.178321678321672,2
"Temp1",52,0.00297202797202768,0.178321678321661,2
"Temp1",53,0.00358391608391617,0.21503496503497,2
"Temp1",54,0.00301573426573396,0.180944055944037,2
"Temp1",55,0.00288461538461525,0.173076923076915,2
"Temp1",56,0.00362762237762239,0.217657342657343,2
"Temp1",57,0.0026223776223774,0.157342657342644,2
"Temp1",58,0.002666083916084,0.15996503496504,2
"Temp1",59,0.00323426573426541,0.194055944055925,2
"Temp1",60,0.00358391608391599,0.21503496503496,2
"Temp1",61,0.00292832167832143,0.175699300699286,2
"Temp1",62,0.00314685314685322,0.188811188811193,2
"Temp1",63,0.00279720279720257,0.167832167832154,2
"Temp1",64,0.00262237762237737,0.157342657342642,2
"Temp1",65,0.00288461538461515,0.173076923076909,2
"Temp1",66,0.00240384615384583,0.14423076923075,2
"Temp1",67,0.00288461538461529,0.173076923076917,2
"Temp1",68,0.00270979020979009,0.162587412587406,2
"Temp1",69,0.00166083916083894,0.0996503496503364,2
"Temp1",70,0.00305944055944045,0.183566433566427,2
"Temp1",71,0.00327797202797186,0.196678321678312,2
"Temp1",72,0.00362762237762221,0.217657342657332,2
"Temp1",73,0.00275349650349613,0.165209790209768,2
"Temp1",74,0.00266608391608383,0.15996503496503,2
"Temp1",75,0.00306818181818181,0.184090909090909,2
"Temp2",0,0.00204545454545452,0.122727272727271,2
"Temp2",1,0.00131118881118841,0.0786713286713049,2
"Temp2",2,0.00288461538461525,0.173076923076915,2
"Temp2",3,0.00288461538461506,0.173076923076904,2
"Temp2",4,0.00253496503496501,0.1520979020979,2
"Temp2",5,0.00388986013986004,0.233391608391602,2
"Temp2",6,0.00319055944055907,0.191433566433544,2
"Temp2",7,0.0036276223776224,0.217657342657344,2
"Temp2",8,0.00380244755244737,0.228146853146842,2
"Temp2",9,0.00428321678321662,0.256993006992997,2
"Temp2",10,0.00327797202797195,0.196678321678317,2
"Temp2",11,0.00393356643356639,0.236013986013983,2
"Temp2",12,0.00415209790209785,0.249125874125871,2
"Temp2",13,0.00397727272727247,0.238636363636348,2
"Temp2",14,0.00323426573426576,0.194055944055946,2
"Temp2",15,0.00340909090909072,0.204545454545443,2
"Temp2",16,0.00406468531468494,0.243881118881096,2
"Temp2",17,0.0028409090909091,0.170454545454546,2
"Temp2",18,0.004020979020979,0.24125874125874,2
"Temp2",19,0.00371503496503468,0.222902097902081,2
"Temp2",20,0.00437062937062925,0.262237762237755,2
"Temp2",21,0.00362762237762216,0.21765734265733,2
"Temp2",22,0.00345279720279695,0.207167832167817,2
"Temp2",23,0.00393356643356631,0.236013986013979,2
"Temp2",24,0.00301573426573422,0.180944055944053,2
"Temp2",25,0.00345279720279707,0.207167832167824,2
"Temp2",26,0.00327797202797215,0.196678321678329,2
"Temp2",27,0.00410839160839167,0.2465034965035,2
"Temp2",28,0.00314685314685286,0.188811188811171,2
"Temp2",29,0.00332167832167838,0.199300699300703,2
"Temp2",30,0.00371503496503493,0.222902097902096,2
"Temp2",31,0.00388986013985991,0.233391608391594,2
"Temp2",32,0.00423951048951047,0.254370629370628,2
"Temp2",33,0.00310314685314668,0.186188811188801,2
"Temp2",34,0.00432692307692293,0.259615384615376,2
"Temp2",35,0.00380244755244758,0.228146853146855,2
"Temp2",36,0.00314685314685294,0.188811188811176,2
"Temp2",37,0.00375874125874113,0.225524475524468,2
"Temp2",38,0.00358391608391602,0.215034965034961,2
"Temp2",39,0.00354020979020945,0.212412587412567,2
"Temp2",40,0.00222902097902066,0.133741258741239,2
"Temp2",41,0.00310314685314681,0.186188811188808,2
"Temp2",42,0.00301573426573391,0.180944055944035,2
"Temp2",43,0.00257867132867125,0.154720279720275,2
"Temp2",44,0.00284090909090879,0.170454545454528,2
"Temp2",45,0.00336538461538445,0.201923076923067,2
"Temp2",46,0.00297202797202764,0.178321678321658,2
"Temp2",47,0.0032342657342659,0.194055944055954,2
"Temp2",48,0.00397727272727277,0.238636363636366,2
"Temp2",49,0.00358391608391579,0.215034965034947,2
"Temp2",50,0.00388986013986021,0.233391608391613,2
"Temp2",51,0.00310314685314663,0.186188811188798,2
"Temp2",52,0.00275349650349633,0.16520979020978,2
"Temp2",53,0.00388986013986029,0.233391608391617,2
"Temp2",54,0.00209790209790193,0.125874125874116,2
"Temp2",55,0.00340909090909093,0.204545454545456,2
"Temp2",56,0.00214160839160812,0.128496503496487,2
"Temp2",57,0.00284090909090904,0.170454545454542,2
"Temp2",58,0.00319055944055925,0.191433566433555,2
"Temp2",59,0.00336538461538459,0.201923076923075,2
"Temp2",60,0.0028409090909091,0.170454545454546,2
"Temp2",61,0.00249125874125862,0.149475524475517,2
"Temp2",62,0.00279720279720269,0.167832167832161,2
"Temp2",63,0.00327797202797174,0.196678321678304,2
"Temp2",64,0.00345279720279688,0.207167832167813,2
"Temp2",65,0.0032342657342655,0.19405594405593,2
"Temp2",66,0.002097902097902,0.12587412587412,2
"Temp2",67,0.00336538461538456,0.201923076923073,2
"Temp2",68,0.00367132867132852,0.220279720279711,2
"Temp2",69,0.00314685314685281,0.188811188811168,2
"Temp2",70,0.00288461538461552,0.173076923076931,2
"Temp2",71,0.00314685314685315,0.188811188811189,2
"Temp2",72,0.00340909090909096,0.204545454545458,2
"Temp2",73,0.00275349650349632,0.165209790209779,2
"Temp2",74,0.00244755244755269,0.146853146853161,2
"Temp2",75,0.00272727272727315,0.163636363636389,2
"Temp3",0,0.00227272727272729,0.136363636363637,2
"Temp3",1,0.00139860139860149,0.0839160839160894,2
"Temp3",2,0.00288461538461526,0.173076923076915,2
"Temp3",3,0.00327797202797195,0.196678321678317,2
"Temp3",4,0.00410839160839147,0.246503496503488,2
"Temp3",5,0.00375874125874104,0.225524475524462,2
"Temp3",6,0.00371503496503507,0.222902097902104,2
"Temp3",7,0.00458916083916079,0.275349650349647,2
"Temp3",8,0.0031031468531467,0.186188811188802,2
"Temp3",9,0.00349650349650346,0.209790209790208,2
"Temp3",10,0.00485139860139851,0.291083916083911,2
"Temp3",11,0.00388986013985996,0.233391608391598,2
"Temp3",12,0.00450174825174808,0.270104895104885,2
"Temp3",13,0.00415209790209784,0.24912587412587,2
"Temp3",14,0.00358391608391598,0.215034965034959,2
"Temp3",15,0.00380244755244729,0.228146853146837,2
"Temp3",16,0.00397727272727264,0.238636363636358,2
"Temp3",17,0.00410839160839156,0.246503496503493,2
"Temp3",18,0.0046765734265732,0.280594405594392,2
"Temp3",19,0.00323426573426579,0.194055944055947,2
"Temp3",20,0.00384615384615383,0.23076923076923,2
"Temp3",21,0.0040646853146851,0.243881118881106,2
"Temp3",22,0.00362762237762219,0.217657342657331,2
"Temp3",23,0.00275349650349651,0.165209790209791,2
"Temp3",24,0.00345279720279702,0.207167832167821,2
"Temp3",25,0.00323426573426585,0.194055944055951,2
"Temp3",26,0.00297202797202793,0.178321678321676,2
"Temp3",27,0.00354020979020963,0.212412587412578,2
"Temp3",28,0.00393356643356657,0.236013986013994,2
"Temp3",29,0.00284090909090909,0.170454545454545,2
"Temp3",30,0.00354020979020967,0.21241258741258,2
"Temp3",31,0.00371503496503484,0.222902097902091,2
"Temp3",32,0.00301573426573418,0.180944055944051,2
"Temp3",33,0.00279720279720249,0.167832167832149,2
"Temp3",34,0.00454545454545432,0.272727272727259,2
"Temp3",35,0.00349650349650325,0.209790209790195,2
"Temp3",36,0.00406468531468501,0.2438811188811,2
"Temp3",37,0.00340909090909092,0.204545454545455,2
"Temp3",38,0.00323426573426552,0.194055944055931,2
"Temp3",39,0.00445804195804177,0.267482517482506,2
"Temp3",40,0.00393356643356633,0.23601398601398,2
"Temp3",41,0.00380244755244741,0.228146853146844,2
"Temp3",42,0.00236013986013992,0.141608391608395,2
"Temp3",43,0.00319055944055925,0.191433566433555,2
"Temp3",44,0.0039335664335662,0.236013986013972,2
"Temp3",45,0.00319055944055953,0.191433566433572,2
"Temp3",46,0.00284090909090871,0.170454545454523,2
"Temp3",47,0.00336538461538457,0.201923076923074,2
"Temp3",48,0.00340909090909059,0.204545454545436,2
"Temp3",49,0.00262237762237757,0.157342657342654,2
"Temp3",50,0.00305944055944048,0.183566433566429,2
"Temp3",51,0.00336538461538477,0.201923076923086,2
"Temp3",52,0.00332167832167834,0.1993006993007,2
"Temp3",53,0.00214160839160832,0.128496503496499,2
"Temp3",54,0.00292832167832179,0.175699300699307,2
"Temp3",55,0.003146853146853,0.18881118881118,2
"Temp3",56,0.00332167832167815,0.199300699300689,2
"Temp3",57,0.00240384615384595,0.144230769230757,2
"Temp3",58,0.00257867132867109,0.154720279720266,2
"Temp3",59,0.00227272727272738,0.136363636363643,2
"Temp3",60,0.00249125874125865,0.149475524475519,2
"Temp3",61,0.00340909090909083,0.20454545454545,2
"Temp3",62,0.00323426573426531,0.194055944055919,2
"Temp3",63,0.0025349650349649,0.152097902097894,2
"Temp3",64,0.00209790209790176,0.125874125874106,2
"Temp3",65,0.00358391608391593,0.215034965034956,2
"Temp3",66,0.00354020979020974,0.212412587412584,2
"Temp3",67,0.00244755244755233,0.14685314685314,2
"Temp3",68,0.00249125874125863,0.149475524475518,2
"Temp3",69,0.00297202797202768,0.178321678321661,2
"Temp3",70,0.0023601398601398,0.141608391608388,2
"Temp3",71,0.00240384615384597,0.144230769230758,2
"Temp3",72,0.00257867132867103,0.154720279720262,2
"Temp3",73,0.00192307692307666,0.1153846153846,2
"Temp3",74,0.00214160839160826,0.128496503496496,2
"Temp3",75,0.00284090909090929,0.170454545454557,2
"Temp1",0,0.00329545454545446,0.197727272727267,3
"Temp1",1,0.00231643356643321,0.138986013985993,3
"Temp1",2,0.0042395104895104,0.254370629370624,3
"Temp1",3,0.00380244755244745,0.228146853146847,3
"Temp1",4,0.00423951048951047,0.254370629370628,3
"Temp1",5,0.00375874125874092,0.225524475524455,3
"Temp1",6,0.00432692307692296,0.259615384615377,3
"Temp1",7,0.00463286713286711,0.277972027972026,3
"Temp1",8,0.00458916083916075,0.275349650349645,3
"Temp1",9,0.00428321678321653,0.256993006992992,3
"Temp1",10,0.00437062937062922,0.262237762237753,3
"Temp1",11,0.00380244755244757,0.228146853146854,3
"Temp1",12,0.00384615384615363,0.230769230769218,3
"Temp1",13,0.00437062937062928,0.262237762237757,3
"Temp1",14,0.00336538461538469,0.201923076923081,3
"Temp1",15,0.00384615384615386,0.230769230769232,3
"Temp1",16,0.00345279720279694,0.207167832167817,3
"Temp1",17,0.0039335664335663,0.236013986013978,3
"Temp1",18,0.00323426573426582,0.194055944055949,3
"Temp1",19,0.00371503496503469,0.222902097902082,3
"Temp1",20,0.00367132867132852,0.220279720279711,3
"Temp1",21,0.00327797202797182,0.196678321678309,3
"Temp1",22,0.00467657342657334,0.280594405594401,3
"Temp1",23,0.00257867132867108,0.154720279720265,3
