"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-07-14,"two",1899-12-31 13:40:00,"July","fed",1,66,33,64.55,6,34.4851190476191,0.196853146853143,0.779,"fem"
"2",2022-07-14,"two",1899-12-31 13:40:00,"July","fed",2,68,3,66.05,5,34.7881944444444,0.196328671328663,0.796,"fem"
"3",2022-07-14,"two",1899-12-31 13:40:00,"July","starvation",4,53,28,51.4666666666667,7,31.84375,0.209615384615376,0.815,"fem"
"4",2022-07-14,"two",1899-12-31 13:40:00,"July","starvation",5,72,14,70.2333333333333,3,35.6041666666667,0.190209790209782,0.832,"fem"
"5",2022-07-14,"two",1899-12-31 13:40:00,"July","fed",6,73,33,71.55,1,35.875,0.19108391608391,0.788,"fem"
"6",2022-07-14,"two",1899-12-31 13:40:00,"July","fed",7,68,51,66.85,4,34.9541666666667,0.196328671328663,0.811,"fem"
"7",2022-07-14,"two",1899-12-31 13:40:00,"July","starvation",9,33,55,31.9166666666667,8,27.4837962962963,0.236713286713281,0.813,"fem"
"8",2022-07-14,"two",1899-12-31 13:40:00,"July","fed",10,72,54,70.9,2,35.71875,0.190209790209782,0.834,"fem"
