"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-08-03,"two",1899-12-31 12:50:00,"July","starvation",1,82,20,80.3333333333333,1,36.5,0.170804195804186,0.798,"fem"
"2",2022-08-03,"two",1899-12-31 12:50:00,"July","starvation",2,25,1,23.0166666666667,8,24.7083333333333,0.246153846153836,0.805,"fem"
"3",2022-08-03,"two",1899-12-31 12:50:00,"July","fed",3,72,39,70.65,6,34.7113095238095,0.183041958041949,0.804,"fem"
"4",2022-08-03,"two",1899-12-31 12:50:00,"July","fed",4,50,30,48.5,7,30.3411458333333,0.20402097902097,0.805,"fem"
"5",2022-08-03,"two",1899-12-31 12:50:00,"July","starvation",5,22,26,20.4333333333333,9,24.0984848484848,0.247027972027963,0.834,"fem"
"6",2022-08-03,"two",1899-12-31 12:50:00,"July","starvation",6,78,10,76.1666666666667,4,35.7604166666667,0.173076923076916,0.818,"fem"
"7",2022-08-03,"two",1899-12-31 12:50:00,"July","fed",7,80,28,78.4666666666667,2,36.1979166666667,0.172552447552438,0.791,"fem"
"8",2022-08-03,"two",1899-12-31 12:50:00,"July","fed",8,77,11,75.1833333333333,5,35.5659722222222,0.178846153846146,0.836,"fem"
"9",2022-08-03,"two",1899-12-31 12:50:00,"July","starvation",9,79,8,77.1333333333333,3,35.9375,0.171503496503488,0.785,"fem"
