"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-07-13,"two",1899-12-31 12:05:00,"July","fed",1,74,45,72.75,1,35.7916666666667,0.176748251748247,0.813,"fem"
"2",2022-07-13,"two",1899-12-31 12:05:00,"July","fed",3,72,24,70.4,3,35.3402777777778,0.174475524475515,0.868,"fem"
"3",2022-07-13,"two",1899-12-31 12:05:00,"July","starvation",4,41,54,39.9,7,29.0963541666667,0.234440559440549,0.8,"fem"
"4",2022-07-13,"two",1899-12-31 12:05:00,"July","starvation",5,66,29,64.4833333333333,5,34.2361111111111,0.183041958041952,0.833,"fem"
"5",2022-07-13,"two",1899-12-31 12:05:00,"July","starvation",7,67,17,65.2833333333333,4,34.4,0.181818181818174,0.855,"fem"
"6",2022-07-13,"two",1899-12-31 12:05:00,"July","fed",8,72,54,70.9,2,35.4479166666667,0.174475524475515,0.765,"fem"
"7",2022-07-13,"two",1899-12-31 12:05:00,"July","starvation",10,64,25,62.4166666666667,6,33.8255208333333,0.191958041958037,0.786,"fem"
