"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-07-12,"two",1899-12-31 12:05:00,"July","starvation",1,68,25,66.4166666666667,10,34.4299242424242,0.191433566433561,0.842,"fem"
"2",2022-07-12,"two",1899-12-31 12:05:00,"July","fed",2,75,8,73.1333333333333,1,35.7708333333333,0.194230769230765,0.824,"fem"
"3",2022-07-12,"two",1899-12-31 12:05:00,"July","fed",3,71,30,69.5,6,35.0327380952381,0.1826923076923,0.849,"fem"
"4",2022-07-12,"two",1899-12-31 12:05:00,"July","starvation",4,71,2,69.0333333333333,7,34.9375,0.1826923076923,0.764,"fem"
"5",2022-07-12,"two",1899-12-31 12:05:00,"July","fed",5,72,46,70.7666666666667,5,35.2708333333333,0.176748251748244,0.811,"fem"
"6",2022-07-12,"two",1899-12-31 12:05:00,"July","fed",6,70,22,68.3666666666667,8,34.8104166666667,0.184265734265727,0.824,"fem"
"7",2022-07-12,"two",1899-12-31 12:05:00,"July","starvation",7,74,34,72.5666666666667,2,35.65625,0.189510489510482,0.826,"fem"
"8",2022-07-12,"two",1899-12-31 12:05:00,"July","starvation",8,69,44,67.7333333333333,9,34.6895833333333,0.18811188811188,0.777,"fem"
"9",2022-07-12,"two",1899-12-31 12:05:00,"July","fed",9,74,5,72.0833333333333,3,35.5277777777778,0.189510489510482,0.802,"fem"
"10",2022-07-12,"two",1899-12-31 12:05:00,"July","starvation",10,73,36,71.6,4,35.4458333333333,0.180069930069924,0.784,"fem"
