"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-06-17,"pilot",1899-12-31 15:00:00,"October","ad_libitum",1,73,37,71.6166666666667,4,34.9458333333333,0.169930069930062,NA,NA
"2",2022-06-17,"pilot",1899-12-31 15:00:00,"October","ad_libitum",2,76,57,74.95,1,35.5,0.165734265734259,NA,NA
"3",2022-06-17,"pilot",1899-12-31 15:00:00,"October","ad_libitum",3,71,59,69.9833333333333,5,34.6701388888889,0.172377622377612,NA,NA
"4",2022-06-17,"pilot",1899-12-31 15:00:00,"October","ad_libitum",4,76,21,74.35,2,35.4375,0.165734265734259,NA,NA
"5",2022-06-17,"pilot",1899-12-31 15:00:00,"October","ad_libitum",5,69,5,67.0833333333333,7,34.1692708333333,0.172902097902086,NA,NA
"6",2022-06-17,"pilot",1899-12-31 15:00:00,"October","ad_libitum",7,39,27,37.45,8,28.6479166666667,0.222727272727264,NA,NA
"7",2022-06-17,"pilot",1899-12-31 15:00:00,"October","ad_libitum",8,70,11,68.1833333333333,6,34.375,0.173951048951038,NA,NA
"8",2022-06-17,"pilot",1899-12-31 15:00:00,"October","ad_libitum",10,74,56,72.9333333333333,3,35.2083333333333,0.17360139860139,NA,NA
