"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-10-28,"two",1899-12-31 22:30:00,"July","starvation",1,43,50,41.8333333333333,9,31.7854166666667,0.192482517482508,NA,NA
"2",2022-10-28,"two",1899-12-31 22:30:00,"July","starvation",2,57,56,55.9333333333333,5,34.6493055555556,0.166433566433559,NA,NA
"3",2022-10-28,"two",1899-12-31 22:30:00,"July","fed",3,61,13,59.2166666666667,2,35.28125,0.166958041958037,NA,NA
"4",2022-10-28,"two",1899-12-31 22:30:00,"July","fed",4,60,27,58.45,4,35.0833333333333,0.166783216783214,NA,NA
"5",2022-10-28,"two",1899-12-31 22:30:00,"July","starvation",5,55,59,53.9833333333333,6,34.2767857142857,0.180944055944045,NA,NA
"6",2022-10-28,"two",1899-12-31 22:30:00,"July","starvation",6,47,3,45.05,8,32.462962962963,0.192657342657334,NA,NA
"7",2022-10-28,"two",1899-12-31 22:30:00,"July","fed",7,60,55,58.9166666666667,3,35.2013888888889,0.166783216783214,NA,NA
"8",2022-10-28,"two",1899-12-31 22:30:00,"July","fed",8,62,1,60.0166666666667,1,35.375,0.177097902097902,NA,NA
"9",2022-10-28,"two",1899-12-31 22:30:00,"July","starvation",9,52,23,50.3833333333333,7,33.5598958333333,0.191608391608377,NA,NA
"10",2022-10-28,"two",1899-12-31 22:30:00,"July","starvation",10,36,30,34.5,10,30.2784090909091,0.199125874125865,NA,NA
