"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-08-02,"two",1899-12-31 13:15:00,"July","starvation",1,78,38,76.6333333333333,5,36.2604166666667,0.177797202797197,0.788,"fem"
"2",2022-08-02,"two",1899-12-31 13:15:00,"July","fed",2,77,42,75.7,6,36.0863095238095,0.19265734265734,0.788,"fem"
"3",2022-08-02,"two",1899-12-31 13:15:00,"July","starvation",3,76,31,74.5166666666667,7,35.8611111111111,0.195804195804193,0.814,"fem"
"4",2022-08-02,"two",1899-12-31 13:15:00,"July","fed",4,75,36,73.6,8,35.6854166666667,0.194055944055941,0.822,"fem"
"5",2022-08-02,"two",1899-12-31 13:15:00,"July","fed",5,70,37,68.6166666666667,10,34.7204861111111,0.186188811188804,0.869,"fem"
"6",2022-08-02,"two",1899-12-31 13:15:00,"July","fed",6,74,59,72.9833333333333,9,35.5625,0.195104895104894,0.807,"fem"
"7",2022-08-02,"two",1899-12-31 13:15:00,"July","starvation",7,82,22,80.3666666666667,2,36.9375,0.169405594405585,0.801,"fem"
"8",2022-08-02,"two",1899-12-31 13:15:00,"July","starvation",8,81,36,79.6,3,36.8020833333333,0.169580419580412,0.795,"fem"
"9",2022-08-02,"two",1899-12-31 13:15:00,"July","starvation",9,80,30,78.5,4,36.5989583333333,0.17395104895104,0.817,"fem"
"10",2022-08-02,"two",1899-12-31 13:15:00,"July","fed",10,83,0,81,1,37.0416666666667,0.175043706293698,0.827,"fem"
