"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-06-23,"one",1899-12-31 15:50:00,"July","tet",1,76,50,74.8333333333333,4,35.7760416666667,0.191958041958039,NA,NA
"2",2022-06-23,"one",1899-12-31 15:50:00,"July","rhod",2,84,6,82.1,1,37.0625,0.172727272727268,NA,NA
"3",2022-06-23,"one",1899-12-31 15:50:00,"July","tet",3,72,22,70.3666666666667,9,34.9147727272727,0.178496503496493,NA,NA
"4",2022-06-23,"one",1899-12-31 15:50:00,"July","rhod",4,69,9,67.15,10,34.3194444444444,0.192132867132853,NA,NA
"5",2022-06-23,"one",1899-12-31 15:50:00,"July","tet",5,78,35,76.5833333333333,2,36.1145833333333,0.188461538461531,NA,NA
"6",2022-06-23,"one",1899-12-31 15:50:00,"July","rhod",6,75,49,73.8166666666667,5,35.5902777777778,0.193881118881116,NA,NA
"7",2022-06-23,"one",1899-12-31 15:50:00,"July","starved",7,75,5,73.0833333333333,6,35.4345238095238,0.193881118881116,NA,NA
"8",2022-06-23,"one",1899-12-31 15:50:00,"July","starved",8,74,25,72.4166666666667,7,35.2994791666667,0.186538461538457,NA,NA
"9",2022-06-23,"one",1899-12-31 15:50:00,"July","rhod",9,77,49,75.8166666666667,3,35.9513888888889,0.187762237762233,NA,NA
"10",2022-06-23,"one",1899-12-31 15:50:00,"July","tet",10,73,27,71.45,8,35.1166666666667,0.179720279720273,NA,NA
