"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-09-13,"two",1899-12-31 22:00:00,"July","starvation",1,78,55,76.9166666666667,1,36.8125,0.166083916083908,0.834,"fem"
"2",2022-09-13,"two",1899-12-31 22:00:00,"July","starvation",2,67,57,65.95,6,34.9285714285714,0.172202797202793,0.829,"fem"
"3",2022-09-13,"two",1899-12-31 22:00:00,"July","starvation",3,65,57,63.95,10,34.5486111111111,0.176923076923078,0.856,"fem"
"4",2022-09-13,"two",1899-12-31 22:00:00,"July","fed",4,70,3,68.05,4,35.2875,0.182517482517472,0.857,"fem"
"5",2022-09-13,"two",1899-12-31 22:00:00,"July","fed",5,70,22,68.3666666666667,3,35.3489583333333,0.182517482517472,0.886,"fem"
"6",2022-09-13,"two",1899-12-31 22:00:00,"July","fed",6,68,27,66.45,5,34.9930555555556,0.180419580419574,0.898,"fem"
"7",2022-09-13,"two",1899-12-31 22:00:00,"July","fed",7,67,17,65.2833333333333,7,34.7916666666667,0.172202797202793,0.868,"fem"
"8",2022-09-13,"two",1899-12-31 22:00:00,"July","fed",8,66,28,64.4666666666667,9,34.6401515151515,0.171853146853145,0.897,"fem"
"9",2022-09-13,"two",1899-12-31 22:00:00,"July","starvation",9,66,55,64.9166666666667,8,34.7175925925926,0.171853146853145,0.888,"fem"
"10",2022-09-13,"two",1899-12-31 22:00:00,"July","starvation",10,70,38,68.6333333333333,2,35.4166666666667,0.182517482517472,0.877,"fem"
