"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-07-31,"two",1899-12-31 17:00:00,"July","fed",1,67,17,65.2833333333333,7,34.3463541666667,0.18041958041957,0.8,"fem"
"2",2022-07-31,"two",1899-12-31 17:00:00,"July","starvation",2,72,31,70.5166666666667,1,35.375,0.183391608391597,0.835,"fem"
"3",2022-07-31,"two",1899-12-31 17:00:00,"July","starvation",3,66,31,64.5166666666667,9,34.1837121212121,0.177447552447542,0.858,"fem"
"4",2022-07-31,"two",1899-12-31 17:00:00,"July","fed",4,67,59,65.9833333333333,6,34.4851190476191,0.18041958041957,0.837,"fem"
"5",2022-07-31,"two",1899-12-31 17:00:00,"July","fed",5,71,37,69.6166666666667,3,35.2083333333333,0.187062937062927,0.818,"fem"
"6",2022-07-31,"two",1899-12-31 17:00:00,"July","starvation",6,66,26,64.4333333333333,10,34.1614583333333,0.177447552447542,0.807,"fem"
"7",2022-07-31,"two",1899-12-31 17:00:00,"July","starvation",7,69,15,67.25,4,34.7239583333333,0.181468531468518,0.823,"fem"
"8",2022-07-31,"two",1899-12-31 17:00:00,"July","fed",8,66,57,64.95,8,34.26875,0.177447552447542,0.835,"fem"
"9",2022-07-31,"two",1899-12-31 17:00:00,"July","fed",9,68,18,66.3,5,34.5555555555556,0.176573426573414,0.853,"fem"
"10",2022-07-31,"two",1899-12-31 17:00:00,"July","starvation",10,71,42,69.7,2,35.2291666666667,0.187062937062927,0.813,"fem"
