"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-10-26,"two",1899-12-31 16:30:00,"July","starvation",1,44,0,42,9,31.5229166666667,0.218968531468527,NA,NA
"2",2022-10-26,"two",1899-12-31 16:30:00,"July","starvation",2,61,54,59.9,4,35.0989583333333,0.177447552447547,NA,NA
"3",2022-10-26,"two",1899-12-31 16:30:00,"July","fed",3,66,35,64.5833333333333,2,35.9583333333333,0.182692307692306,NA,NA
"4",2022-10-26,"two",1899-12-31 16:30:00,"July","fed",4,68,4,66.0666666666667,1,36.2083333333333,0.172727272727262,NA,NA
"5",2022-10-26,"two",1899-12-31 16:30:00,"July","starvation",5,50,24,48.4,8,32.900462962963,0.211363636363624,NA,NA
"6",2022-10-26,"two",1899-12-31 16:30:00,"July","starvation",6,53,21,51.35,7,33.4884259259259,0.198076923076913,NA,NA
"7",2022-10-26,"two",1899-12-31 16:30:00,"July","fed",7,63,16,61.2666666666667,3,35.34375,0.17972027972028,NA,NA
"8",2022-10-26,"two",1899-12-31 16:30:00,"July","fed",8,59,57,57.95,6,34.7232142857143,0.175349650349645,NA,NA
"9",2022-10-26,"two",1899-12-31 16:30:00,"July","starvation",9,38,55,36.9166666666667,10,30.4128787878788,0.202622377622367,NA,NA
"10",2022-10-26,"two",1899-12-31 16:30:00,"July","fed",10,60,48,58.8,5,34.8819444444444,0.176573426573422,NA,NA
